NCGC00260230-01,F[P-](F)(F)(F)(F)F.CCCC[N+]1=CC=CC(C)=C1
NCGC00256921-01,CC1=CC=C(S1)C=O
NCGC00258299-01,CC(C)CCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCC(C)C
NCGC00260438-01,NC1=CC(Cl)=CC(=C1O)S(O)(=O)=O
NCGC00258709-01,CC(C)CC(C)N
NCGC00095166-01,CC1=NC(C)=C(Cl)C(O)=C1Cl
NCGC00255631-01,[Na]I
NCGC00257222-01,CC(=O)OCC1=CC=CO1
NCGC00257007-01,C[Si](C)(C)O[Si](C)(C)C
NCGC00254216-01,CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O
NCGC00254986-01,CCCCOC(=O)C(C)OC1=CC=C(OC2=CC=C(C=N2)C(F)(F)F)C=C1
NCGC00257789-01,ClCC=CCl
NCGC00255296-01,OCCC1=CC=C(NC2=CC=C(O)C3=C2C(=O)C4=C(C=CC(O)=C4C3=O)[N+]([O-])=O)C=C1
NCGC00016987-01,[H][C@@]12N(C)C3=C(C=CC=C3)[C@]14C[C@H]5[C@@H]([C@H]4O)[C@H]6C[C@]2([H])N5[C@H](O)[C@H]6CC
NCGC00259431-01,[Cl-].[Cl-].[Cl-].[Fe+3]
NCGC00254610-01,CCNC1=NC(SC)=NC(NCC)=N1
NCGC00254074-01,CN(C)C(Cl)=O
NCGC00258416-01,[Na+].CCC1(CC)C(=O)NC([O-])=NC1=O
NCGC00094983-01,[Cl-].C[N+](C)(C)CC(O)=O
NCGC00257379-01,CC1=CCC2CC1C2(C)C
NCGC00257077-01,OC1=CC2=C(C=CC=C2)C=C1
NCGC00256038-01,NC1=CC=CC(=C1)S(=O)(=O)C2=CC(N)=CC=C2
NCGC00254421-01,Cl.NCC2(CC1=NOC(=O)N1)CCCCC2
NCGC00183839-01,[Br-].[H][C@@]12C[C@@H]([C@H](OC(=O)CC)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC[C@@]4([H])C[C@H](OC(C)=O)[C@H](C[C@]34C)N5CCCCC5)[N+]6(CC=C)CCCCC6
NCGC00256186-01,[Ca++].CCC(C)(CCC(C)C)C([O-])=O.CCC(C)(CCC(C)C)C([O-])=O
NCGC00094439-01,[Cl-].CC[N+](CC)(CC)CC
NCGC00260064-01,OC(=O)C1=CC(O)=C(O)C(O)=C1
NCGC00258832-01,COC1=C(NC(=O)CC(C)=O)C=CC=C1
NCGC00016492-01,COC1=CC=CC=C1OCC(O)COC(N)=O
NCGC00254277-01,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
NCGC00258090-01,NC(=O)C(Cl)(Cl)Cl
NCGC00256202-01,CC1(C)C(O)C(C)(C)C1O
NCGC00254431-01,[H][C@@]12C[C@H](C)CN[C@@]1([H])[C@@H](C)[C@@]3(CC[C@]4([H])C(C[C@@]5([H])[C@@]4([H])CC=C6C[C@@H](O)CC[C@]56C)=C3C)O2
NCGC00256243-01,[Na+].NC1=C(\N=N\C2=CC=CC=C2C(F)(F)F)C3=C(C=C1)C=C(C=C3O)S([O-])(=O)=O
NCGC00259713-01,CCCCCC(C)=O
NCGC00258053-01,O=S1OCCO1
NCGC00183016-01,[H][C@]12SCC(CN3N=NC(C)=N3)=C(N1C(=O)[C@@]2([H])NC(=O)C(=N\OC)\C4=CSC(N)=N4)C(O)=O
NCGC00257878-01,CC1=CC=CC=C1C#N
NCGC00257104-01,NCCCCCCN
NCGC00254859-01,CS(C)=O
NCGC00257586-01,OC1=CC2=C(C=C1)C3=C(O2)C4=C(OC3=O)C=C(O)C=C4
NCGC00259792-01,NC1=CC=C(C=C1)S(=O)(=O)NC2=NC=CS2
NCGC00256566-01,NC1=CC(N)=C(Cl)C=C1
NCGC00258947-01,COC1=C(N)C=C(NC(C)=O)C=C1
NCGC00256057-01,CCCCCCCCCCCCCCN(CCO)CCO
NCGC00256424-01,CCCCCCCCCCCCCCCC(O)=O
NCGC00095162-01,O[C@H]([C@@H](O)C(O)=O)C(O)=O.CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@@H]([C@H]2O)N(C)C)[C@@H](CC=O)C[C@@H](C)C(=O)\C=C\C(C)=C\[C@@H]1CO[C@@H]4O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]4OC
NCGC00090781-02,CCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC
NCGC00094324-02,[Br-].CN(C)C(=O)OC1=CC=C[N+](C)=C1
NCGC00159467-03,Cl.COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1OC(=O)C3=CC=CC=C3)N2C
NCGC00256127-01,COC1=CC=CC(OC)=C1C(O)=O
NCGC00014750-02,[H][C@]12N3CCC[C@@]1(CC)CC(=O)N4C5=C(C=CC=C5)C(CC3)=C24
NCGC00257976-01,ClSC(Cl)(Cl)Cl
NCGC00256308-01,CCCCCCCCC(CCCCCC)C(O)=O
NCGC00093739-04,CN1[C@@H](CCC1=O)C2=CN=CC=C2
NCGC00257981-01,CCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCC
NCGC00256045-01,N1N=NN=C1C2=CC=CC=C2
NCGC00256989-01,OS(=O)(=O)C1=CC=CC=C1
NCGC00255868-01,NCCOS(O)(=O)=O
NCGC00256199-01,CC(S)C(C)S
NCGC00257396-01,CC1=CC(O)=CC(C)=C1
NCGC00181306-01,[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]4(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C5=CC=CC=C5)C(C)=C([C@@H](O)C(=O)[C@]1(C)[C@@H](O)C[C@H]6OC[C@@]26OC(C)=O)C4(C)C
NCGC00017004-01,Cl.CCNC1(CCCCC1=O)C2=CC=CS2
NCGC00247704-01,Cl.CN[C@@H](C)CC1=CC=CC=C1
NCGC00254979-01,[H]\C(C(=O)N(C)C)=C(\C)OP(=O)(OC)OC
NCGC00186050-01,ClC1=C(CCN2CCN(CC2)C3=NSC4=CC=CC=C34)C=C5CC(=O)NC5=C1
NCGC00258562-01,OC1=CC=C(CC2=CC=CC=C2)C=C1
NCGC00260472-01,O=C1NC(=O)C=C1
NCGC00257875-01,OC(=O)C1=CC(Cl)=CC=C1Cl
NCGC00247353-03,Br.C[C@H]1[C@H]2CC3=C(C=C(O)C=C3)[C@]1(C)CCN2CCC4=CC=CC=C4
NCGC00256522-01,O=CCC1=CC=CC=C1
NCGC00014702-03,CC1=C(C)C(NC2=NC(SCC(O)=O)=NC(Cl)=C2)=CC=C1
NCGC00183029-01,COC1=CC(=CC(OC)=C1OC)C(=O)NC2CCCNC2
NCGC00168771-01,[Ca++].CC(C)CN(C[C@@H](OP([O-])([O-])=O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)S(=O)(=O)C3=CC=C(N)C=C3
NCGC00255854-01,CCOC(=O)C=CC(O)=O
NCGC00256902-01,COC(=O)CC(C)CCC=C(C)C
NCGC00258629-01,CC(\C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C)=C\C=O
NCGC00259933-01,CC1(C)N(Cl)C(=O)N(Cl)C1=O
NCGC00255883-01,CN(C)C(=O)NC1=CC=CC(OC(=O)NC(C)(C)C)=C1
NCGC00257889-01,CC(=O)OCC=C
NCGC00160671-01,OS(O)(=O)=O.[H][C@@]1(C[C@H](O)N=C(N)N1)[C@]2([H])NC(=O)\C(NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CNC2=O)NC(=O)C[C@@H](N)CCCN)=C\NC(N)=O
NCGC00260436-01,NC(CC1=CC=C(F)C=C1)C(O)=O
NCGC00257805-01,COC1=CC=CC2=C1N=C(N)S2
NCGC00254825-01,CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C2=C(ON=C2)C3CC3
NCGC00254677-01,[Cl-].C[N+]1(C)CCCCC1
NCGC00258805-01,CC1CC(=O)O1
NCGC00254429-01,C[C@@H](O)C1=NC(=CC=N1)N2[C@@H](C)CN(C[C@H]2C)C3=NC(C)=NC(C)=N3
NCGC00256141-01,O=CO[Al](OC=O)OC=O
NCGC00254396-01,CN1[C@@H](CCC1=O)C2=CN=CC=C2
NCGC00259903-01,CCCCC(CC)COC(=O)C1=CC=C(O)C=C1
NCGC00182046-01,CC1=C(C(C2=CC(=CC=C2)[N+]([O-])=O)C(=C(C)N1)P3(=O)OCC(C)(C)CO3)C(=O)OCCN(CC4=CC=CC=C4)C5=CC=CC=C5
NCGC00095872-01,CC(C)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=CC=C3
NCGC00256659-01,CC(C)OC(=O)N[C@@H](C(C)C)C(=O)NC(C)C1=CC=C(C)C=C1
NCGC00256918-01,C1CCC2=NC=CN=C2C1
NCGC00016706-01,CCCCC1=CC2=C(NC(NC(=O)OC)=N2)C=C1
NCGC00187606-01,[Na+].[Na+].[O-]S(=O)(=O)C1=CC=C2N\C(C(=O)C2=C1)=C3\NC4=CC=C(C=C4C3=O)S([O-])(=O)=O
NCGC00181103-01,Cl.CCCOC(C(=O)OC1CCN(C)CC1)(C2=CC=CC=C2)C3=CC=CC=C3
NCGC00095124-01,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C3=NC=CC=C3
NCGC00256957-01,CCCCNS(=O)(=O)C1=CC=CC=C1
NCGC00258382-01,CCC1CCC(CCC(O)=O)C1
NCGC00015243-02,Cl.ClC1=CC=C(CN2C(CN3CCCC3)=NC4=C2C=CC=C4)C=C1
NCGC00257292-01,CCCCCCOC(=O)C1=CC=C(O)C=C1
NCGC00256390-01,CCOC(=O)\C=C/C(=O)OCC
NCGC00257628-01,ClC(Cl)C(Cl)Cl
NCGC00016640-03,Cl.CCOC(=O)NNC1=NN=CC2=CC=CC=C12
NCGC00258065-01,OC1=CC=C2C=CC=CC2=C1\N=N\C3=CC=CC=C3
NCGC00259159-01,NC1=CC=C(O)C(=C1)C(O)=O
NCGC00259935-01,CC(C)=CCC\C(C)=C\CO
NCGC00160480-01,CN1CCCC(CN2C3=C(SC4=C2C=CC=C4)C=CC=C3)C1
NCGC00015762-06,CCN1C=C(C(O)=O)C(=O)C2=CC3=C(OCO3)C=C12
NCGC00256960-01,CCCCC(CC)COC(=O)C=C
NCGC00259968-01,Cl\C=C\Cl
NCGC00181335-01,CC\C(C1=CC=C(OP(O)(O)=O)C=C1)=C(\CC)C2=CC=C(OP(O)(O)=O)C=C2
NCGC00255448-01,CNC(=O)OC1=CC=CC(=C1)C(C)C
NCGC00259350-01,OC1CCCCCCCCCCC1
NCGC00254645-01,COC1=CC(Cl)=C(OC)C=C1Cl
NCGC00183031-01,[Ca++].CC(C)(CO)[C@@H](O)C(=O)NCCC([O-])=O.CC(C)(CO)[C@@H](O)C(=O)NCCC([O-])=O
NCGC00255403-01,CC\C=C/CCOC(=O)C1=C(O)C=CC=C1
NCGC00016598-01,Cl.N[C@@H]1C[C@H]1C2=CC=CC=C2
NCGC00256310-01,CCOC(OCC)\C=C\CC\C=C/CC
NCGC00160396-01,COC1=CC=C(C=C1)C(=O)C2=C(C)N(CCN3CCOCC3)C4=C2C=CC=C4
NCGC00254118-01,CC1=CC(C)=C(C)C=C1
NCGC00255414-01,COC1=CC(=CC=C1N)[N+]([O-])=O
NCGC00259438-01,OC1=CC(Cl)=CC=C1Cl
NCGC00256601-01,CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1
NCGC00254021-01,CC1=C(Cl)C=CC(O)=C1
NCGC00091861-01,CN(C)N=NC1=C(NC=N1)C(N)=O
NCGC00258688-01,COC1=C(O)C=CC=C1
NCGC00164600-01,[H][C@]1(C)C([H])(OC(=O)CCC(O)=O)O[C@]2([H])O[C@]3(C)CC[C@@]4([H])[C@H](C)CC[C@]1([H])[C@]24OO3
NCGC00182850-01,CCCN(CCC)C(=O)CC1=C(N=C2C=CC(Cl)=CN12)C3=CC=C(Cl)C=C3
NCGC00256639-01,CC1=CC(O)=C(C)C(C)=C1
NCGC00160455-01,CN1C2=C(N(CCOC(=O)C(C)(C)OC3=CC=C(Cl)C=C3)C=N2)C(=O)N(C)C1=O
NCGC00016599-01,NC1=NC(=O)NC=C1F
NCGC00260387-01,CC1=NC2=CC=CC=C2C(=O)O1
NCGC00091044-02,ONC(=O)C1=CC=CC=C1
NCGC00257323-01,CC(C)(C)C1=CC(CC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C
NCGC00160643-01,C(C1COC2=CC=CC=C2O1)N3CCCCC3
NCGC00260044-01,O[C@@H]1C[C@](O)(C[C@@H](OC(=O)C=CC2=CC(O)=C(O)C=C2)[C@@H]1O)C(O)=O
NCGC00258915-01,CC(C)(CO)CO
NCGC00260217-01,[Br-].CCC[N+]1(C)CCCCC1
NCGC00255826-01,CC(C)(C)C2(CCC1=CC=C(Cl)C=C1)CO2
NCGC00091219-02,CCN(CC)C(=O)C1=CC=CC(C)=C1
NCGC00164528-01,CCCCCCCCCCCC(=O)OCC(O)CO
NCGC00256338-01,[H]P(=O)(OC)OC
NCGC00260467-01,CN(C)C1=CC=C(CCO)C=C1
NCGC00258123-01,CC(=O)C=CC1=CC=CO1
NCGC00181050-01,OCCO[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
NCGC00254196-01,OCC(CO)(CBr)CBr
NCGC00258577-01,[N-]=C=NC#N.CCN1C=C[N+](C)=C1
NCGC00161393-01,Cl.CCN1CCC[C@H]1CNC(=O)C2=C(OC)C(Cl)=CC(CC)=C2O
NCGC00253932-01,NC(=O)C=C
NCGC00258032-01,CC[C@@H](N)CO
NCGC00256134-01,C[Si](NC1CCCCC1)(NC2CCCCC2)NC3CCCCC3
NCGC00255439-01,CCCCCCC1(C)CCC(=O)O1
NCGC00247732-01,CN(C)CCC1=CNC2=C1C(OP(O)(O)=O)=CC=C2
NCGC00013272-01,CC1=CC=C(O)C=C1
NCGC00254366-01,CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(C)C)[N+]([O-])=O
NCGC00259891-01,OC(=O)C1=CC=C(O)C=C1
NCGC00254623-01,COC1=CC=C(Cl)C=C1C
NCGC00015630-02,CC1NC2=CC(Cl)=C(C=C2C(=O)N1C3=CC=CC=C3C)S(N)(=O)=O
NCGC00164551-01,[H][C@]12[C@@H](C)C(SC3CN4C=NC=[N+]4C3)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C([O-])=O
NCGC00257153-01,OC(=O)CS
NCGC00259549-01,CC1=CC=CC(=C1C)[N+]([O-])=O
NCGC00095121-01,CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC2=CC=CC=C2)C(O)=O
NCGC00258703-01,N#C\C=C\C#N
NCGC00257278-01,CCNCC(C)=C
NCGC00259031-01,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC
NCGC00259712-01,NC(=O)NC(N)=O
NCGC00259313-01,CC1=C(C=O)C=CC=C1
NCGC00096122-03,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=NC3=C2N=CN=C3S
NCGC00183278-01,CSCC[C@H](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@@H](N)CC(O)=O)C(=O)NCC(=O)N[C@@H](CC2=CNC3=C2C=CC=C3)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC4=CC=CC=C4)C(N)=O
NCGC00259669-01,OC1=CC=CC2=CC=CC=C12
NCGC00256663-01,COC1=CC(CCC(C)=O)=CC=C1O
NCGC00181092-01,[Na+].CN(C)C=NC1=C(I)C(CCC([O-])=O)=C(I)C=C1I
NCGC00260010-01,[Na+].[N-]=[N+]=[N-]
NCGC00090731-05,OCCOC1=CC=CC=C1
NCGC00095787-01,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=NC3=C2N=CN=C3O
NCGC00015774-03,O=C1NC2=C(C=CC=C2)N1CCCN3CCN(CC3)C(C4=CC=CC=C4)C5=CC=CC=C5
NCGC00255772-01,CCOC(=O)CC(=O)CCl
NCGC00255836-01,[O-][N+](=O)C1=CC=C(NC(=O)NCC2=CC=CN=C2)C=C1
NCGC00159369-02,CCCCCCCCCCCCCCCCCCO
NCGC00159463-02,CCOC1=CC=C(NC(=C)NC2=CC=C(OCC)C=C2)C=C1
NCGC00256279-01,CC(C)C1=CC2=C(SC3=C(C=CC=C3)C2=O)C=C1
NCGC00164127-02,CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1
NCGC00257679-01,CC1=C(N)C=CC=C1N
NCGC00259716-01,CC1=C(C)C2=CC=CC=C2C=C1
NCGC00259772-01,CC1=CC(C)=C(C=C1)[N+]([O-])=O
NCGC00167525-01,CCOC(=O)C1=CC=C(N=C1)C#CC2=CC=C3SCCC(C)(C)C3=C2
NCGC00091313-01,CCCCCC(N)=O
NCGC00016959-01,Cl.OC(=O)C1=CN(C2CC2)C3=CC(N4CCNCC4)=C(F)C=C3C1=O
NCGC00260367-01,FC(F)(F)C(=O)CC(=O)C1=CC=CC=C1
NCGC00259051-01,CC1=CC(=CC(C)=C1N)C2=CC(C)=C(N)C(C)=C2
NTOC00000202-01,CC[C@H](C)[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@@H]2CCCN2C(=O)[C@@H]3CCC(=O)N3)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(N)=O
NCGC00091120-01,COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]3(O2)[C@H](C)CC(=O)C=C3OC
NCGC00015643-07,CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC
NCGC00254589-01,Cl.CCCOC(=O)NCCCN(C)C
NCGC00258412-01,OCC[NH+](CCO)CCO.CCCCCCCCCCCCCCCCCC([O-])=O
NCGC00258000-01,O=C1CCCC2=C1C=CC=C2
NCGC00258555-01,CC(C)C(=O)OC(=O)C(C)C
NCGC00253976-01,CN(C)C1=CC=C(CC2=CC=C(C=C2)N(C)C)C=C1
NCGC00163507-01,[Br-].CCCCCCCCOC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)C(=O)OCC[N+](C)(CC)CC
NCGC00258720-01,S=C=S
NCGC00257142-01,NC1=CC=C(O)C(=C1)C(O)=O
NCGC00258637-01,[O-][N+](=O)C1=CC(I)=CC=C1
NCGC00260166-01,[I-].CCCCN1C=C[N+](C)=C1
NCGC00257495-01,O=C1CCCC1
NCGC00167494-01,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC=C4C[C@@H](O)CC[C@]34C
NCGC00258733-01,OC(=O)CNC(=O)C1=CC=C(C=C1)[N+]([O-])=O
NCGC00258418-01,O.O.[Zn++].CC([O-])=O.CC([O-])=O
NCGC00260333-01,CCN1C=C(C(O)=O)C(=O)C2=CC3=C(OCO3)C=C12
NCGC00260386-01,CCOC(=O)C1=CC=C(I)C=C1
NCGC00256953-01,OC(=O)C1=CC=C2C(=O)OC(=O)C2=C1
NCGC00160377-01,C[C@@H](CC1=CC=CC=C1)NC(=O)NS(=O)(=O)C2=CC=C(C)C=C2
NCGC00260252-01,F[B-](F)(F)F.CC[N+]1(C)CCCC1
NCGC00254822-01,CN(C)NC(=O)CCC(O)=O
NCGC00167478-01,[H][C@@]1(CC[C@@]2(C)[C@]3([H])CC[C@]4([H])[C@]5(C[C@@]35CC[C@]12C)CC[C@H](OC(=O)\C=C\C6=CC=C(O)C(OC)=C6)C4(C)C)[C@H](C)CCC=C(C)C
NCGC00257381-01,CC[Si](OC(C)=O)(OC(C)=O)OC(C)=O
NCGC00091865-01,OCC1=CC=CC=C1
NCGC00094546-04,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
NCGC00255257-01,CC1=CC(O)=CC(C)=C1Cl
NCGC00253975-01,OCC(O)CO
NCGC00016869-01,OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](OC3OC(CN)=CCC3N)[C@@H]2O)OC[C@]1(C)O.CN[C@@H]4[C@@H](O)[C@@H](O[C@H]5[C@H](N)C[C@H](N)[C@@H](OC6OC(CN)=CCC6N)[C@@H]5O)OC[C@]4(C)O
NCGC00095128-01,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)C(CC(C)C)NC=O
NCGC00258582-01,CCC(=O)OC(=O)CC
NCGC00254558-01,OC(C1=CC=C(Cl)C=C1)(C2=CN=CN=C2)C3=CC=CC=C3Cl
NCGC00255475-01,[Zn++].CC([O-])=O.CC([O-])=O
NCGC00255947-01,CC(C)CC(=O)C1C(=O)C2=C(C=CC=C2)C1=O
NCGC00258603-01,OP(=O)(OCC1=CC=CC=C1)OCC2=CC=CC=C2
NCGC00254410-01,CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(OC3=CC=CC=C3)=CC=C2
NCGC00258331-01,CCCCCC
NCGC00258329-01,OC1=C(Cl)C=CC=C1Cl
NCGC00257686-01,CC(CCCC(C)(C)O)C=C
NCGC00257080-01,CCOP(OCC)OCC
NCGC00258462-01,CCCCCCCCOC(=O)C1=CC=C(O)C=C1
NCGC00258017-01,[Zn++].[O-]C(=O)C=C.[O-]C(=O)C=C
NCGC00015426-04,CN1C(=O)N(CC2=CC=CO2)C3=C(NC(C)=N3)C1=O
NCGC00253987-01,CCCCCCCCCCCCO
NCGC00254588-01,CCNC(=O)NC(=O)C(=N\OC)\C#N
NCGC00258102-01,CCCCCCCCCOC(=O)C1=CC=C(O)C=C1
NCGC00259884-01,FC1=CNC(=O)NC1=O
NCGC00091013-01,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC[C@@]4([H])CC(=O)CC[C@]34C
NCGC00255731-01,[Na+].[O-][N+](=O)C1=CC=C(C=C1)C2=CC=C(O2)C=NN3CC(=O)[N-]C3=O
NCGC00015204-05,ClCCNC(=O)N(CCCl)N=O
NCGC00256537-01,OC(=O)C1=CC=CN=C1
NCGC00255301-01,CC(=O)CC(C)(C)NC(=O)C=C
NCGC00024870-02,[H][C@@]2(CNC(=O)C1=C(OC)C=CC(Br)=C1OC)CCCN2CC
NCGC00017114-01,[Na+].NC(=O)C1=CC=[N+](CC2=C(N3[C@@H](SC2)[C@H](NC(=O)[C@H](C4=CC=CC=C4)S([O-])(=O)=O)C3=O)C([O-])=O)C=C1
NCGC00260389-01,OS(O)(=O)=O.NC1=NC(N)=C(N)C(N)=N1
NCGC00013287-06,NS(=O)(=O)C1=CC=C(C=C1)C(O)=O
NCGC00016940-01,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]3C[C@@H](O)CC(=O)O3)OC(=O)C(C)(C)CC
NCGC00183878-01,CC(C(O)=O)C1=CC2=C(SC3=C(C=CC=C3)C(=O)C2)C=C1
NCGC00260511-01,OCC1=C2C=CC=CC2=CC3=CC=CC=C13
NCGC00259423-01,CCOC(=O)C1=CC=CC=C1C(=O)OCC
NCGC00253931-01,FC1(F)C[C@@H](C#N)N(C1)C(=O)CNC2CC3CCC(C2)N3C4=NC=CC=N4
NCGC00258647-01,[Na+].OCS([O-])(=O)=O
NCGC00016806-01,COC(=O)NC1=NC2=C(N1)C=CC(=C2)C(=O)C3=CC=CC=C3
NCGC00254347-01,COC(=O)C1=C(N)C=CC=C1
NCGC00017244-03,[H][C@@]12C[C@](C)(CC[C@]1(C)CC[C@]3(C)C2=CC(=O)[C@]4([H])[C@@]5(C)CC[C@H](O)C(C)(C)[C@]5([H])CC[C@@]34C)C(O)=O
NCGC00256610-01,CCCCCCCCCCCC#N
NCGC00260320-01,CC(C)(C)CC(C)(C)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)CC(C)(C)C)C=C1
NCGC00260127-01,CCO[Si](CCCSSSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC
NCGC00258041-01,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C3=CC=CC=C3
NCGC00255373-01,[O-]C(=O)C1=CC=CC=C1.CC[N+](CC)(CC(=O)NC2=C(C)C=CC=C2C)CC3=CC=CC=C3
NCGC00259016-01,OC1=C(C=C(C=C1)[As](O)(O)=O)[N+]([O-])=O
NCGC00094997-01,Cl.CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=C(C[C@H]2C(O)=O)C=CC=C3
NCGC00164591-01,[H][C@]1(C)[C@@]([H])(OC)O[C@]2([H])O[C@]3(C)CC[C@@]4([H])[C@H](C)CC[C@]1([H])[C@]24OO3
NCGC00255588-01,CN1N=CC(C(=O)C2=C(C)C(C3=NOCC3)=C(C=C2)S(C)(=O)=O)=C1O
NCGC00257542-01,[K+].[I-]
NCGC00164636-01,OC(=O)C1=CC2=C(C=CC=C2)C(CC3=C(O)C(=CC4=C3C=CC=C4)C(O)=O)=C1O.CC(C)C[C@H](NC(=O)[C@@H](CC5=CNC6=CC=CC=C56)NC(=O)[C@H](CC7=CC=C(O)C=C7)NC(=O)[C@H](CO)NC(=O)[C@H](CC8=CNC9=CC=CC=C89)NC(=O)[C@H](CC%10=CNC=N%10)NC(=O)[C@@H]%11CCC(=O)N%11)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N%12CCC[C@@H]%12C(=O)NCC(N)=O
NCGC00183848-01,NC1=NC(=O)N(C=C1)[C@H]2CO[C@H](CO)O2
NCGC00159520-02,Cl.CC(C)[C@H](N)C(=O)OCCOCN1C=NC2=C1N=C(N)NC2=O
NCGC00260129-01,[Fe++].[O-]S([O-])(=O)=O
NCGC00161405-01,Cl.COC(=O)C(CN)C1=CNC2=CC=C(OC)C=C12
NCGC00160373-01,NC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2N
NCGC00164564-01,NC1=NC(=O)N(C=C1F)[C@@H]2CS[C@H](CO)O2
NCGC00257591-01,C=CCCCCCCC=C
NCGC00181170-01,CN1C(CCCC(O)=O)=NC2=C1C=CC(=C2)N(CCCl)CCCl
NCGC00023722-05,OC[C@H]1O[C@H](C[C@@H]1O)N2C=C(F)C(=O)NC2=O
NCGC00254554-01,Cl[Nd](Cl)Cl
NCGC00163232-01,[Br-].[Br-].[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC[C@@]4([H])C[C@H](OC(C)=O)[C@H](C[C@]34C)[N+]5(C)CCCCC5)[N+]6(C)CCCCC6
NCGC00255365-01,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
NCGC00181763-01,[Br-].COC1=CC(Br)=C(C[N+]4(CCOCCC2CCC3CC2C3(C)C)CCOCC4)C=C1OC
NCGC00257338-01,OC1=CC(C[C@H]2COC(=O)[C@@H]2CC3=CC(O)=CC=C3)=CC=C1
NCGC00255260-01,CCCCCCCCCCCC(C)=O
NCGC00254841-01,CCC(CC)C(C)CCOC(C)=O
NCGC00016949-01,Cl.Cl.OC(=O)COCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(Cl)C=C3
